task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Bug Fix,High,Mid,JavaScript,Critical,7,3,0,14,6,18,True,1,True,2.22,1,2,0,0,3.58
Documentation,High,Senior,Go,Low,1,2,2,2,1,13,False,3,False,2.62,1,1,0,0,1.12
Testing,High,Tech Lead,JavaScript,Critical,7,5,0,14,3,14,False,0,True,3.18,2,2,1,0,3.22
Testing,Low,Junior,C++,Low,5,5,2,10,7,18,True,2,False,3.44,2,1,2,0,2.24
Bug Fix,High,Mid,C++,High,4,2,2,8,9,11,False,0,True,1.36,2,0,0,0,2.52
Refactoring,High,Senior,Python,Critical,12,2,0,24,5,14,False,3,True,3.07,1,0,1,0,6.08
Documentation,High,Junior,Java,Critical,1,5,1,2,6,16,False,2,False,2.16,2,3,0,0,0.75
Bug Fix,High,Mid,C++,High,12,1,3,24,4,10,False,3,False,5.54,0,0,1,0,5.48
Client Meeting,Medium,Mid,Go,High,13,1,3,26,7,15,True,0,False,7.09,0,0,0,1,5.07
Documentation,Medium,Senior,Python,Critical,8,3,2,16,8,14,False,0,False,3.24,1,1,1,0,3.2
Feature Dev,Low,Junior,Python,Critical,4,3,3,8,2,13,True,0,False,4.61,1,0,2,0,1.71
Code Review,Low,Tech Lead,Python,Critical,8,5,0,16,7,12,True,0,False,4.04,2,1,2,0,2.75
Documentation,Medium,Tech Lead,C++,Low,13,3,2,26,5,18,True,2,False,4.29,1,0,2,0,5.15
Deployment,Medium,Mid,Python,Low,3,1,3,6,3,18,False,1,True,1.39,1,0,0,0,1.78
Deployment,Low,Senior,JavaScript,Low,7,5,1,14,2,10,True,1,True,3.73,3,0,1,1,2.72
Testing,Low,Junior,JavaScript,Low,7,1,1,14,7,18,True,3,False,5.06,0,0,1,0,2.58
Code Review,High,Mid,Other,High,10,3,2,20,6,18,True,3,False,3.1,0,3,0,0,5.27
Testing,High,Senior,Python,High,13,2,2,26,10,9,False,1,False,3.33,1,0,1,0,5.86
Feature Dev,Low,Senior,JavaScript,Critical,5,3,0,10,1,18,False,1,False,4.7,1,0,2,0,1.5
Refactoring,Medium,Junior,Other,Medium,8,4,0,16,7,15,False,2,False,2.37,3,0,1,0,3.33
Code Review,High,Tech Lead,Other,High,2,1,2,4,9,13,True,2,True,1.88,1,0,0,0,1.58
Bug Fix,High,Senior,Other,Low,3,5,0,6,10,18,False,2,True,4.69,1,2,1,1,1.49
Design Review,Medium,Mid,JavaScript,Low,11,2,3,22,7,16,True,2,False,3.74,0,2,0,0,5.0
Refactoring,Low,Senior,Python,Low,5,4,3,10,8,10,False,0,False,4.41,1,1,1,1,2.08
Documentation,Low,Senior,Python,High,13,1,1,26,10,17,False,0,True,5.36,0,0,1,0,4.68
Deployment,Low,Junior,Java,High,3,4,3,6,7,9,False,3,False,5.72,0,1,2,1,1.42
Client Meeting,Medium,Senior,Java,Medium,3,3,0,6,1,15,True,0,False,1.69,2,1,0,0,1.11
Client Meeting,Medium,Tech Lead,Python,Critical,11,5,2,22,6,11,True,2,False,2.97,1,3,1,0,4.71
Feature Dev,Low,Mid,Java,Critical,13,5,0,26,2,11,True,3,False,3.54,1,2,2,0,4.72
Refactoring,High,Mid,Python,Medium,8,2,0,16,6,13,True,2,True,4.68,0,1,1,0,3.81
Feature Dev,Medium,Junior,Java,High,6,2,0,12,6,12,True,1,False,3.46,1,0,1,0,2.56
Bug Fix,High,Junior,Other,High,5,3,0,10,7,18,True,0,False,3.33,1,1,1,0,2.21
Deployment,Medium,Tech Lead,Go,Medium,3,3,2,6,10,12,False,1,False,1.8,2,1,0,0,1.65
Deployment,Medium,Senior,Other,Low,9,5,1,18,7,14,False,1,True,3.85,2,0,2,1,3.6
Design Review,Low,Junior,C++,Low,2,1,2,4,2,16,True,3,False,7.53,0,0,0,1,1.2
Feature Dev,Medium,Tech Lead,Python,Medium,12,2,1,24,8,10,False,2,False,1.74,2,0,0,0,5.24
Design Review,Low,Mid,Python,Low,8,3,2,16,9,18,False,2,True,6.5,0,0,1,2,2.77
Bug Fix,Medium,Junior,Python,High,5,1,2,10,6,12,True,1,True,1.82,1,0,0,0,2.81
Client Meeting,High,Tech Lead,Other,Critical,13,1,1,26,8,15,False,0,False,3.0,0,1,0,0,5.89
Documentation,Low,Mid,Python,High,4,2,2,8,4,16,False,3,False,5.46,0,1,0,1,1.89
Deployment,High,Senior,JavaScript,Low,6,3,1,12,1,18,False,2,True,2.18,1,2,0,0,3.42
Feature Dev,Low,Mid,Go,Medium,1,1,3,2,5,13,False,3,True,6.73,0,0,0,1,1.19
Design Review,Medium,Mid,Other,High,7,1,1,14,9,15,False,1,False,2.88,0,1,0,0,2.77
Bug Fix,High,Mid,JavaScript,Low,9,2,0,18,5,10,True,3,False,2.63,0,2,0,0,4.39
Code Review,High,Senior,Go,High,3,3,2,6,8,18,False,1,True,4.32,1,0,1,1,1.6
Documentation,Medium,Senior,Java,Low,6,2,1,12,4,14,True,0,True,6.15,0,0,2,0,2.68
Documentation,Medium,Junior,Java,Low,4,4,1,8,4,16,True,2,True,2.9,3,0,0,1,2.01
Refactoring,Medium,Senior,Java,Medium,2,5,3,4,2,16,True,0,False,2.87,2,3,0,0,1.25
Design Review,Medium,Senior,C++,Critical,11,4,1,22,5,17,False,3,False,4.76,1,1,1,1,4.1
Client Meeting,High,Senior,Python,High,6,5,1,12,3,18,True,2,False,4.11,2,1,1,1,2.6
Refactoring,Medium,Junior,Go,Low,3,2,2,6,2,16,False,1,False,2.58,0,2,0,0,1.65
Design Review,Medium,Mid,Python,Critical,1,5,2,2,8,18,True,1,False,5.29,0,2,1,2,0.55
Client Meeting,Low,Junior,Python,Low,6,5,0,12,1,10,True,1,False,2.9,3,1,1,0,2.32
Testing,High,Tech Lead,Go,Critical,1,3,3,2,9,17,True,1,False,2.7,1,2,0,0,0.95
Feature Dev,Medium,Senior,Java,Critical,6,2,1,12,1,13,True,0,False,3.21,0,2,0,0,2.39
Testing,Medium,Junior,C++,Critical,2,2,2,4,10,11,True,1,False,2.84,1,1,0,0,1.19
Testing,Medium,Tech Lead,C++,High,6,3,2,12,3,9,False,3,True,4.99,1,0,0,2,2.64
Refactoring,Medium,Senior,C++,High,3,3,0,6,3,14,False,1,False,2.69,1,2,0,0,1.31
Deployment,Medium,Junior,Java,High,13,2,0,26,5,9,False,2,False,3.52,1,0,1,0,5.08
Deployment,Low,Mid,Python,Critical,7,1,2,14,3,13,True,3,False,5.69,0,0,1,0,2.97
Testing,Low,Junior,Go,Critical,7,2,0,14,5,18,True,1,False,2.76,1,1,0,0,2.54
Code Review,High,Tech Lead,C++,Low,11,2,0,22,8,17,False,3,False,2.44,1,1,0,0,5.29
Design Review,High,Tech Lead,Java,Critical,5,4,2,10,5,9,True,1,False,4.49,1,1,1,1,2.21
Client Meeting,Low,Senior,JavaScript,Medium,11,4,1,22,1,9,True,3,False,3.58,1,2,1,0,4.42
Testing,High,Tech Lead,Java,Critical,6,1,3,12,9,17,False,2,True,1.0,1,0,0,0,3.79
Deployment,Medium,Junior,Java,Medium,4,1,3,8,3,13,True,3,False,1.21,1,0,0,0,2.39
Design Review,Medium,Mid,Other,Low,13,5,0,26,2,18,False,0,False,5.34,1,1,0,3,4.06
Feature Dev,Low,Junior,Java,Low,11,5,3,22,5,17,False,3,False,4.06,1,2,1,1,3.83
Client Meeting,High,Senior,JavaScript,High,12,3,2,24,3,11,False,2,False,3.88,1,1,1,0,5.27
Documentation,Low,Junior,C++,High,12,5,0,24,9,17,True,2,False,1.64,4,1,0,0,4.8
Testing,Low,Senior,Java,Critical,13,3,1,26,9,15,True,0,True,4.52,1,0,2,0,4.84
Bug Fix,High,Tech Lead,Other,Low,10,4,2,20,10,15,False,2,False,3.03,2,1,0,1,4.75
Refactoring,High,Senior,Java,Medium,11,4,2,22,10,17,False,0,False,4.73,0,2,1,1,4.44
Feature Dev,Low,Tech Lead,Other,Low,3,4,0,6,7,9,False,3,True,1.95,2,2,0,0,1.36
Deployment,Low,Junior,Python,Medium,6,1,3,12,6,15,False,0,True,2.51,0,1,0,0,2.99
Testing,High,Mid,JavaScript,Critical,9,3,3,18,7,16,False,2,False,2.0,2,1,0,0,4.89
Client Meeting,Low,Tech Lead,Other,Medium,13,4,2,26,3,13,True,0,True,2.2,3,0,1,0,5.65
Documentation,High,Senior,Python,Critical,7,5,3,14,10,17,False,3,False,5.62,1,1,0,3,2.93
Feature Dev,High,Tech Lead,Go,Low,6,5,3,12,9,14,False,3,False,4.12,1,2,1,1,2.87
Testing,Low,Junior,JavaScript,Critical,7,2,3,14,2,11,False,3,False,2.75,1,1,0,0,3.23
Deployment,Medium,Senior,Java,High,3,5,1,6,3,15,False,3,True,3.32,2,2,1,0,1.82
Code Review,Low,Junior,Python,Low,5,2,3,10,3,16,False,0,False,2.47,1,1,0,0,2.04
Code Review,Low,Tech Lead,Go,High,9,3,1,18,1,15,False,1,False,6.39,0,0,2,1,2.84
Documentation,Low,Junior,Go,Critical,5,3,2,10,5,15,False,2,True,3.6,1,1,1,0,2.24
Refactoring,High,Mid,Other,Critical,8,5,3,16,2,14,False,3,False,3.04,2,1,2,0,4.17
Refactoring,Medium,Mid,Java,Critical,5,3,3,10,9,16,True,3,False,3.06,1,2,0,0,2.77
Code Review,High,Tech Lead,JavaScript,Critical,13,5,0,26,8,17,False,2,False,3.02,3,0,2,0,5.41
Client Meeting,Low,Mid,Go,Medium,7,5,2,14,1,14,True,3,True,2.4,3,1,1,0,3.5
Documentation,High,Junior,C++,High,1,5,2,2,4,16,True,3,False,1.79,4,1,0,0,0.95
Testing,High,Junior,JavaScript,Low,7,2,0,14,10,18,False,2,False,2.54,1,1,0,0,3.22
Code Review,Medium,Mid,C++,Medium,6,4,2,12,3,16,True,0,True,4.52,0,3,0,1,2.79
Documentation,Medium,Mid,Go,High,7,2,1,14,3,18,False,3,False,3.42,1,0,1,0,3.13
Refactoring,Medium,Tech Lead,Go,Low,10,1,1,20,3,16,True,3,False,1.3,1,0,0,0,4.71
Feature Dev,Low,Tech Lead,Java,Low,8,1,2,16,9,11,False,3,False,3.23,0,1,0,0,3.33
Refactoring,Low,Tech Lead,JavaScript,Low,1,4,2,2,1,11,True,3,True,2.88,0,4,0,0,1.14
Documentation,High,Tech Lead,JavaScript,High,2,1,2,4,3,15,False,0,False,4.7,0,0,1,0,1.01
Design Review,Low,Tech Lead,C++,Critical,13,2,0,26,8,10,False,1,True,2.08,1,1,0,0,5.32
Client Meeting,High,Tech Lead,JavaScript,Low,10,4,1,20,2,15,True,1,False,1.62,3,1,0,0,4.94
Feature Dev,Medium,Tech Lead,Python,Medium,12,3,2,24,10,15,True,3,False,3.05,1,2,0,0,5.61
Testing,Low,Tech Lead,JavaScript,Low,10,4,0,20,5,17,False,3,False,2.86,2,1,1,0,3.66
Refactoring,Medium,Tech Lead,Go,Medium,12,3,0,24,9,18,False,3,False,2.97,1,2,0,0,4.83
Client Meeting,High,Tech Lead,JavaScript,Critical,8,1,2,16,3,12,False,0,False,3.53,0,1,0,0,3.83
Refactoring,High,Mid,Python,High,11,4,2,22,1,11,True,3,False,3.73,0,3,1,0,5.33
Code Review,High,Mid,JavaScript,High,10,2,0,20,2,14,True,2,False,6.47,0,0,1,1,4.05
Code Review,High,Junior,Other,Critical,12,4,0,24,8,16,False,0,True,5.72,0,0,3,1,4.73
Bug Fix,High,Junior,Go,High,2,1,2,4,7,13,False,1,False,3.7,0,1,0,0,1.2
Refactoring,High,Junior,Go,Medium,11,1,2,22,7,9,False,1,False,1.33,1,0,0,0,5.5
Client Meeting,High,Senior,JavaScript,Low,7,4,2,14,10,15,True,0,False,1.89,3,1,0,0,3.53
Feature Dev,High,Junior,Java,Critical,6,3,3,12,8,15,True,1,True,1.51,3,0,0,0,3.69
Client Meeting,Medium,Senior,C++,High,9,4,3,18,10,14,False,3,True,3.17,1,2,1,0,4.25
Client Meeting,High,Tech Lead,C++,Medium,1,5,1,2,4,13,False,0,False,2.64,4,0,1,0,0.69
Refactoring,Low,Junior,C++,Low,8,4,1,16,7,9,False,3,False,4.29,1,1,1,1,3.01
Bug Fix,High,Senior,Go,High,2,4,2,4,9,11,True,0,False,4.0,1,2,0,1,0.99
Bug Fix,High,Mid,Other,Medium,11,5,2,22,8,16,False,0,False,3.18,3,1,0,1,4.87
Documentation,Medium,Junior,C++,Critical,3,4,1,6,4,9,True,3,True,5.33,1,0,1,2,1.51
Bug Fix,Medium,Junior,Go,Critical,5,5,2,10,9,14,True,0,True,3.52,2,2,0,1,2.54
Bug Fix,Low,Tech Lead,Other,High,5,4,2,10,6,10,False,0,False,2.98,2,1,1,0,1.88
Code Review,Medium,Senior,JavaScript,Critical,8,2,0,16,5,13,False,0,False,3.94,1,0,1,0,2.76
Feature Dev,Medium,Junior,JavaScript,High,11,4,0,22,10,12,True,0,False,3.29,2,1,0,1,4.05
Client Meeting,High,Senior,Java,Medium,6,4,3,12,5,11,True,2,True,2.08,2,2,0,0,3.72
Design Review,Low,Senior,C++,Critical,1,2,3,2,9,9,False,0,True,3.92,0,1,1,0,0.72
Documentation,Low,Tech Lead,Go,Medium,9,2,2,18,8,13,True,2,True,3.4,1,0,1,0,3.89
Testing,High,Junior,Python,Critical,11,2,1,22,7,17,True,1,True,2.77,0,2,0,0,5.97
Client Meeting,Low,Junior,Go,Critical,5,2,0,10,2,11,False,2,False,5.38,0,0,2,0,1.68
Design Review,Medium,Senior,C++,High,7,5,2,14,5,15,False,2,False,3.22,2,2,0,1,3.16
Deployment,Low,Junior,Go,Critical,1,5,0,2,3,14,True,0,False,4.27,1,3,0,1,0.5
Code Review,Low,Tech Lead,Other,Medium,6,1,2,12,3,15,False,3,False,1.44,1,0,0,0,2.93
Feature Dev,Medium,Junior,Python,Critical,4,2,0,8,6,12,False,0,False,4.99,0,1,1,0,1.59
Testing,High,Mid,JavaScript,Medium,11,5,1,22,7,9,True,0,False,2.54,1,4,0,0,5.22
Design Review,Medium,Junior,Python,High,1,1,3,2,1,9,False,0,False,1.56,1,0,0,0,0.88
Refactoring,Medium,Junior,Other,Low,2,5,2,4,6,12,False,0,False,3.67,1,3,1,0,1.06
Client Meeting,Medium,Mid,Python,Medium,2,3,0,4,4,10,False,3,False,3.12,1,1,1,0,1.19
Feature Dev,High,Mid,Python,Critical,12,3,0,24,9,15,False,3,False,6.18,0,1,0,2,4.74
Bug Fix,Medium,Junior,Python,Low,2,3,2,4,9,18,True,1,False,2.01,2,1,0,0,1.42
Design Review,Medium,Junior,C++,Critical,12,5,2,24,9,9,True,1,False,2.46,3,1,1,0,5.08
Code Review,Medium,Senior,Go,Critical,8,5,0,16,1,16,False,0,False,2.36,2,3,0,0,2.99
Refactoring,Low,Senior,C++,Critical,10,1,0,20,4,18,False,1,False,7.66,0,0,0,1,3.15
Design Review,Medium,Mid,Java,Medium,12,2,3,24,3,11,False,0,False,2.61,1,1,0,0,5.22
Documentation,Low,Senior,JavaScript,High,13,4,0,26,1,12,True,0,False,2.17,2,2,0,0,4.68
Design Review,Low,Senior,Other,Medium,1,1,3,2,4,16,False,0,False,7.06,0,0,0,1,0.81
Feature Dev,Low,Tech Lead,Java,Medium,5,3,2,10,5,15,True,2,True,3.99,1,1,1,0,2.32
Testing,Medium,Junior,Other,Critical,4,1,3,8,1,10,True,2,True,1.36,1,0,0,0,2.69
Bug Fix,Low,Mid,Python,Critical,7,5,1,14,3,15,False,2,False,3.41,2,2,0,1,2.55
Code Review,High,Tech Lead,JavaScript,High,1,5,1,2,5,16,True,0,False,3.13,2,1,2,0,0.67
Code Review,High,Junior,Python,Critical,13,5,0,26,6,16,False,0,False,2.63,2,2,1,0,5.48
Design Review,High,Tech Lead,Go,Critical,12,2,2,24,10,11,False,0,False,3.32,1,0,1,0,5.2
Deployment,Medium,Junior,Python,Low,2,5,1,4,7,13,False,0,False,3.17,1,3,1,0,0.89
Bug Fix,High,Senior,Python,Critical,1,1,2,2,6,18,False,0,False,7.02,0,0,0,1,0.5
Documentation,Medium,Tech Lead,Go,High,9,1,2,18,9,14,True,1,False,3.0,0,1,0,0,4.21
Design Review,Low,Tech Lead,C++,Medium,4,4,3,8,9,11,False,1,True,4.15,1,2,0,1,2.1
Design Review,Low,Tech Lead,Java,Low,11,3,2,22,1,9,False,0,False,2.44,2,1,0,0,4.22
Design Review,Medium,Senior,Other,Critical,10,1,1,20,2,11,True,3,False,3.83,0,1,0,0,4.56
Deployment,Medium,Junior,Java,Medium,6,4,3,12,5,15,False,1,False,1.3,4,0,0,0,2.88
Documentation,High,Mid,Java,High,2,1,1,4,9,9,True,0,False,1.63,1,0,0,0,1.08
Testing,Medium,Senior,JavaScript,Critical,5,3,2,10,7,15,True,2,False,3.63,1,1,1,0,2.4
Refactoring,Medium,Senior,Python,Medium,8,2,0,16,2,14,False,0,False,3.19,1,0,1,0,3.15
Design Review,Low,Junior,Java,Critical,1,4,3,2,8,18,True,0,False,4.09,0,2,2,0,0.69
Client Meeting,Medium,Junior,Go,Medium,1,4,1,2,7,12,False,3,False,3.56,1,2,0,1,0.92
Client Meeting,High,Senior,Other,High,4,3,0,8,8,11,False,1,False,4.19,0,2,0,1,1.84
Feature Dev,Low,Junior,Other,Medium,11,5,1,22,5,17,True,1,False,2.12,3,2,0,0,4.25
Testing,High,Junior,Other,Low,8,5,3,16,1,11,True,1,False,4.6,1,2,1,1,3.89
Bug Fix,High,Junior,Go,High,6,4,3,12,1,13,False,0,True,4.38,0,2,1,1,3.02
Bug Fix,High,Senior,Go,Medium,2,4,2,4,5,13,True,3,False,3.39,1,2,1,0,1.5
Deployment,Low,Junior,Java,Low,3,5,2,6,3,10,True,3,False,3.6,2,1,1,1,1.55
Design Review,High,Mid,JavaScript,High,7,4,1,14,2,11,False,1,False,4.45,2,0,0,2,3.0
Testing,Medium,Senior,JavaScript,Critical,13,1,1,26,9,15,True,2,False,3.4,0,1,0,0,5.49
Design Review,Low,Junior,JavaScript,High,13,2,2,26,5,9,False,3,True,1.21,2,0,0,0,5.92
Documentation,High,Junior,Java,Critical,8,2,1,16,9,15,False,1,True,2.89,1,1,0,0,4.23
Design Review,Low,Senior,Other,Critical,3,3,3,6,2,18,False,1,True,3.35,1,1,1,0,1.83
Bug Fix,Medium,Senior,Other,Low,2,4,1,4,7,14,True,2,True,1.73,3,1,0,0,1.38
Refactoring,Low,Mid,C++,Critical,12,1,2,24,7,18,True,3,False,3.7,0,1,0,0,4.89
Testing,High,Mid,C++,Low,13,1,0,26,7,13,False,1,False,1.5,1,0,0,0,5.99
Client Meeting,High,Tech Lead,JavaScript,Low,1,3,2,2,3,12,False,1,False,4.01,0,1,2,0,0.87
Client Meeting,Low,Senior,Java,High,3,5,1,6,9,11,False,2,False,2.66,2,3,0,0,1.52
Documentation,High,Junior,JavaScript,High,6,2,0,12,3,17,False,1,False,4.6,0,1,1,0,2.36
Client Meeting,High,Junior,C++,Medium,7,2,2,14,10,14,False,0,False,2.72,1,1,0,0,3.51
Deployment,High,Junior,Go,Critical,7,2,3,14,2,10,False,2,True,1.28,2,0,0,0,4.48
Bug Fix,Low,Senior,Java,High,11,3,0,22,5,18,False,0,True,3.35,2,0,0,1,3.81
Client Meeting,Low,Mid,Java,Low,7,2,0,14,1,14,True,2,True,2.27,1,1,0,0,3.03
Bug Fix,Medium,Mid,C++,Medium,13,3,3,26,8,18,False,2,False,2.14,2,1,0,0,5.8
Deployment,Low,Junior,Other,Critical,2,3,0,4,1,15,True,3,False,1.82,2,1,0,0,1.17
Refactoring,Medium,Senior,Go,High,4,1,3,8,8,17,True,1,False,2.54,0,1,0,0,2.24
Deployment,Low,Mid,JavaScript,Critical,8,5,1,16,6,12,False,2,False,3.12,2,3,0,0,3.01
Client Meeting,Low,Junior,Other,Critical,3,5,3,6,10,13,True,3,False,3.08,2,2,1,0,1.71
Testing,Low,Mid,Java,Critical,5,4,0,10,3,10,False,2,False,3.77,1,2,1,0,1.98
Design Review,Low,Senior,Java,Critical,8,1,1,16,8,18,True,1,False,1.11,1,0,0,0,3.45
Design Review,Low,Junior,Go,Medium,6,2,1,12,8,15,True,2,True,2.35,1,1,0,0,2.81
Documentation,Medium,Junior,JavaScript,Critical,5,4,2,10,7,18,False,0,True,3.35,2,1,0,1,2.26
Code Review,Medium,Mid,C++,High,4,1,1,8,3,14,False,2,True,1.54,1,0,0,0,2.12
Bug Fix,Low,Junior,Java,Low,3,1,1,6,4,10,True,3,False,6.31,0,0,1,0,1.53
Code Review,Medium,Junior,Other,Medium,4,1,1,8,3,16,True,0,True,1.38,1,0,0,0,2.01
Refactoring,Low,Senior,Python,High,6,1,2,12,6,13,False,0,False,5.04,0,0,1,0,2.07
Bug Fix,High,Tech Lead,JavaScript,High,4,5,3,8,9,16,False,1,False,2.62,3,1,1,0,2.21
Documentation,Low,Senior,JavaScript,Critical,5,5,1,10,9,17,False,2,False,2.39,4,0,1,0,1.97
Testing,Low,Tech Lead,C++,Medium,13,2,2,26,6,11,False,3,False,2.37,1,1,0,0,5.08
Documentation,Medium,Mid,Go,High,11,2,2,22,4,10,True,1,False,3.47,1,0,1,0,4.49
Bug Fix,Medium,Junior,C++,Low,10,1,2,20,1,16,True,0,True,6.6,0,0,0,1,4.26
Refactoring,Medium,Mid,Other,Medium,10,3,3,20,1,12,False,0,False,2.29,2,1,0,0,4.32
Design Review,High,Tech Lead,C++,High,12,2,0,24,1,9,False,2,True,3.85,0,1,1,0,5.83
Feature Dev,High,Junior,Go,Critical,3,1,2,6,2,13,False,1,False,6.2,0,0,1,0,1.54
Documentation,High,Junior,Python,Medium,8,3,2,16,3,17,False,0,False,5.76,0,1,0,2,3.2
Refactoring,High,Mid,Java,Low,2,4,0,4,1,9,True,0,False,1.99,3,1,0,0,0.96
Documentation,Medium,Tech Lead,C++,Medium,2,1,2,4,10,9,False,1,True,1.32,1,0,0,0,1.36
Design Review,Low,Junior,Go,Critical,12,4,2,24,9,13,False,0,True,2.04,3,0,1,0,4.92
Documentation,High,Mid,Java,Low,1,1,1,2,7,15,False,2,True,6.59,0,0,0,1,0.94
Design Review,Medium,Junior,Go,High,6,4,0,12,3,18,False,3,False,5.01,1,1,0,2,2.14
Deployment,Low,Senior,Other,Medium,9,3,0,18,2,14,False,3,True,3.5,1,1,1,0,3.66
Testing,High,Tech Lead,JavaScript,Critical,9,3,1,18,2,9,False,1,False,2.11,2,1,0,0,4.36
Documentation,High,Senior,JavaScript,Critical,10,3,2,20,1,16,True,3,False,2.94,1,2,0,0,5.11
Feature Dev,Low,Tech Lead,C++,Critical,7,1,3,14,4,17,True,2,False,2.56,0,1,0,0,3.11
Documentation,Medium,Tech Lead,Python,Low,10,4,0,20,4,14,False,1,False,1.46,3,1,0,0,4.21
Refactoring,High,Tech Lead,C++,Low,8,1,0,16,4,16,True,3,False,5.5,0,0,1,0,3.52
Bug Fix,High,Junior,Go,Critical,7,3,0,14,6,17,True,1,False,3.52,1,1,1,0,3.03
Documentation,High,Senior,Python,High,10,3,0,20,10,14,True,0,False,2.52,2,0,1,0,4.55
Bug Fix,Medium,Tech Lead,Java,Critical,3,3,1,6,9,18,False,3,True,3.06,1,2,0,0,1.87
Testing,Low,Tech Lead,Java,Critical,6,4,2,12,5,9,False,2,False,2.43,1,3,0,0,2.74
Design Review,Medium,Mid,JavaScript,Critical,5,4,1,10,3,13,False,1,False,3.12,2,1,0,1,2.04
Bug Fix,Medium,Mid,Python,Critical,2,3,2,4,5,17,False,2,True,2.3,2,0,1,0,1.2
Code Review,Low,Mid,Other,Critical,9,4,1,18,3,11,True,0,False,2.71,2,1,1,0,3.5
Feature Dev,Low,Mid,JavaScript,High,11,3,2,22,5,11,True,0,False,2.25,2,1,0,0,4.51
Client Meeting,Low,Mid,Java,Critical,1,4,3,2,2,9,False,0,False,4.66,1,1,1,1,0.88
Design Review,High,Tech Lead,JavaScript,High,6,4,0,12,5,9,False,3,True,3.13,1,2,1,0,3.32
Refactoring,Low,Junior,C++,Medium,5,3,3,10,5,14,True,3,True,1.89,2,1,0,0,2.81
Refactoring,Medium,Senior,JavaScript,Low,5,1,0,10,5,18,False,2,True,1.73,1,0,0,0,2.56
Documentation,Medium,Mid,Go,High,3,5,0,6,1,18,True,0,True,4.4,1,1,3,0,1.22
Bug Fix,Low,Senior,Java,Medium,1,2,2,2,6,18,True,2,False,2.61,1,1,0,0,0.83
Bug Fix,Medium,Junior,Other,Low,2,4,1,4,6,15,False,1,False,3.84,2,1,0,1,0.9
Documentation,High,Mid,C++,High,1,5,2,2,8,16,False,1,True,3.37,2,1,2,0,0.86
Deployment,Low,Senior,Python,Medium,3,5,2,6,7,9,False,2,False,3.2,2,2,0,1,1.41
Code Review,Low,Mid,JavaScript,Critical,12,5,0,24,9,13,True,1,False,3.75,1,3,1,0,4.38
Refactoring,High,Mid,C++,Medium,3,5,3,6,10,17,False,1,False,3.99,1,2,2,0,1.57
Client Meeting,Low,Junior,C++,Low,11,5,1,22,3,16,False,3,False,2.81,2,2,1,0,4.0
Client Meeting,Medium,Junior,Other,High,9,1,0,18,3,13,False,2,False,1.8,1,0,0,0,3.91
Design Review,Medium,Senior,Python,Low,9,4,0,18,7,16,True,2,False,3.0,2,1,1,0,3.83
Client Meeting,Medium,Tech Lead,Python,Medium,2,3,2,4,8,13,False,1,False,3.68,1,0,2,0,1.14
Bug Fix,High,Junior,C++,High,12,4,0,24,7,16,True,2,False,3.41,1,1,2,0,5.49
Testing,Medium,Senior,Go,Low,13,3,1,26,1,13,True,2,False,2.04,2,1,0,0,5.67
Testing,Low,Junior,Python,Medium,4,1,0,8,3,18,False,2,False,1.84,1,0,0,0,1.51
Refactoring,High,Senior,Go,High,4,4,0,8,8,16,False,1,False,2.28,3,1,0,0,1.94
Feature Dev,Medium,Senior,Other,Low,7,3,0,14,5,13,False,2,True,3.84,1,1,0,1,2.82
Refactoring,Medium,Mid,Go,High,8,5,3,16,10,13,False,2,False,1.89,3,2,0,0,3.98
Testing,Medium,Mid,C++,High,7,2,2,14,8,13,False,0,True,4.57,0,1,1,0,3.01
Client Meeting,Medium,Tech Lead,Java,Low,3,3,3,6,9,11,True,0,False,1.9,2,1,0,0,1.72
Documentation,Low,Senior,C++,Low,4,1,1,8,7,18,True,0,True,1.18,1,0,0,0,2.01
Bug Fix,Low,Junior,Other,Medium,3,5,0,6,10,14,True,3,False,3.41,1,3,0,1,1.11
Design Review,Medium,Tech Lead,Go,Low,6,4,3,12,3,16,False,2,True,4.2,1,1,1,1,2.68
Bug Fix,Medium,Junior,Java,High,1,5,1,2,8,13,False,1,False,3.14,3,0,2,0,0.5
Refactoring,Medium,Mid,Java,High,9,5,0,18,8,18,False,1,False,3.47,2,2,1,0,3.25
Deployment,High,Senior,C++,Medium,13,4,0,26,5,12,True,1,True,2.99,2,1,1,0,6.58
Deployment,High,Mid,Go,Low,2,3,0,4,5,12,True,2,False,3.86,1,1,1,0,0.87
Bug Fix,Low,Mid,Other,High,10,3,1,20,10,10,False,3,False,3.2,1,1,1,0,3.79
Deployment,Medium,Mid,Java,Critical,13,4,1,26,3,11,False,2,False,3.18,2,1,0,1,5.09
Testing,High,Mid,Python,Critical,7,1,3,14,3,11,False,2,False,2.53,0,1,0,0,3.95
Code Review,Medium,Mid,Python,High,9,4,1,18,3,18,False,3,False,4.12,1,2,0,1,3.49
Refactoring,High,Senior,Python,Medium,12,4,0,24,4,18,True,3,False,4.88,0,1,2,1,4.83
Client Meeting,Low,Junior,Go,Critical,6,2,3,12,5,13,False,3,False,4.53,1,0,0,1,2.65
