task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,duration_days
Research,Medium,Senior,Java,Low,10,2,2,12,9,10,True,3,True,5.2
Feature Dev,Low,Senior,JavaScript,Low,1,2,2,35,4,17,False,2,False,5.2
Research,High,Senior,Java,Medium,3,2,0,12,2,15,False,3,True,5.2
Bugfix,High,Junior,JavaScript,Medium,3,7,3,25,11,14,False,3,False,6.8
Research,Low,Mid,JavaScript,Medium,12,1,4,6,6,17,False,3,True,11.25
Bugfix,Medium,Junior,Python,Low,6,9,0,12,5,14,False,2,False,8.2
Research,High,Junior,Python,Low,7,6,5,5,14,14,False,2,False,6.3
Feature Dev,High,Mid,JavaScript,Medium,7,5,1,37,14,10,True,2,False,4.45
Bugfix,High,Mid,Python,Critical,8,5,0,27,5,13,True,3,False,4.45
Bugfix,Low,Junior,JavaScript,Low,4,1,0,9,7,10,True,3,True,14.0
Bugfix,Low,Mid,JavaScript,Medium,11,3,2,18,14,13,True,3,True,5.4
Bugfix,Medium,Senior,Java,Medium,1,8,2,35,9,17,False,0,True,3.6
Research,Medium,Junior,JavaScript,Critical,10,10,1,38,1,11,False,3,True,9.0
Bugfix,Low,Mid,Java,Medium,5,1,4,38,11,8,True,0,True,11.25
Research,Medium,Senior,JavaScript,Critical,9,5,1,18,12,17,True,2,False,2.9
Research,Medium,Mid,JavaScript,Low,13,5,5,13,14,18,False,1,True,4.45
Feature Dev,High,Mid,Java,Medium,6,10,3,6,10,13,False,2,False,6.75
Research,Low,Senior,Java,Low,3,3,5,18,1,15,True,1,False,3.8
Bugfix,High,Mid,Java,Low,10,6,4,24,1,15,False,0,False,4.65
Bugfix,High,Mid,Java,Critical,7,2,1,38,1,11,True,3,True,7.35
Research,Low,Mid,Java,Medium,5,6,3,26,6,13,True,0,True,4.65
Feature Dev,Low,Senior,Python,Medium,13,9,0,25,8,10,False,3,False,4.0
Bugfix,Low,Mid,JavaScript,Critical,11,1,0,16,9,17,True,0,False,11.25
Bugfix,High,Junior,JavaScript,Low,12,1,2,10,1,8,True,1,False,14.0
Bugfix,Medium,Mid,Java,Low,1,1,5,18,12,15,False,3,True,11.25
Bugfix,Medium,Mid,JavaScript,Medium,13,8,5,9,14,11,False,1,False,5.55
Feature Dev,Low,Mid,JavaScript,Medium,12,1,3,19,11,18,True,2,False,11.25
Research,Medium,Senior,Java,Low,7,8,0,25,14,17,False,0,True,3.6
Feature Dev,Medium,Senior,JavaScript,Critical,9,4,2,10,9,17,False,0,True,3.1
Research,High,Senior,JavaScript,Medium,10,1,3,9,14,12,False,0,True,8.5
Research,Medium,Mid,Java,Low,8,2,3,28,8,10,True,1,False,7.35
Feature Dev,Medium,Mid,Python,Low,13,10,0,19,13,11,True,3,False,6.75
Feature Dev,Low,Junior,Java,Critical,6,1,0,18,1,16,True,2,False,14.0
Feature Dev,Medium,Senior,Java,Medium,9,3,0,37,12,8,True,1,True,3.8
Feature Dev,High,Mid,Java,Critical,1,6,3,24,8,16,True,0,False,4.65
Research,Low,Senior,Java,Low,6,5,4,16,14,15,False,0,True,2.9
Research,High,Senior,Java,Critical,5,3,4,20,1,9,True,0,True,3.8
Feature Dev,Medium,Senior,JavaScript,Low,10,10,0,34,7,11,True,1,False,4.5
Research,Low,Junior,Java,Critical,1,3,4,8,11,15,False,2,True,7.0
Bugfix,High,Junior,Python,Medium,3,1,2,26,14,9,False,2,False,14.0
Feature Dev,Medium,Senior,JavaScript,Critical,12,1,5,17,5,11,True,0,True,8.5
Feature Dev,Medium,Mid,Python,Critical,5,2,5,25,8,15,False,2,False,7.35
Research,Medium,Junior,Java,Critical,9,8,3,38,4,14,True,0,True,7.5
Feature Dev,Low,Senior,Python,Critical,6,8,0,17,4,15,False,2,True,3.6
Bugfix,Low,Mid,Java,Low,10,2,5,37,7,8,True,1,False,7.35
Bugfix,Low,Mid,JavaScript,Critical,3,8,2,19,8,18,False,3,False,5.55
Feature Dev,High,Senior,JavaScript,Low,13,4,5,35,10,8,False,2,False,3.1
Feature Dev,Medium,Senior,JavaScript,Critical,8,3,0,12,12,12,False,2,False,3.8
Research,Low,Junior,Java,Critical,5,3,4,19,9,9,False,2,True,7.0
Bugfix,Low,Junior,Java,Critical,2,10,0,4,14,10,False,0,False,9.0
Feature Dev,High,Senior,Java,Medium,4,3,0,37,8,11,True,0,True,3.8
Feature Dev,Medium,Junior,Python,Critical,4,10,0,30,11,10,False,2,False,9.0
Feature Dev,High,Junior,Java,Medium,11,10,1,19,11,10,True,0,True,9.0
Research,Medium,Senior,Java,Medium,10,1,4,37,3,17,False,1,True,8.5
Feature Dev,Low,Mid,Python,Medium,11,9,5,23,5,13,True,1,True,6.1
Research,Medium,Junior,Java,Medium,1,8,2,37,4,12,False,3,False,7.5
Bugfix,Medium,Junior,Python,Medium,1,3,0,5,2,13,False,2,True,7.0
Research,High,Junior,Python,Critical,3,5,1,27,3,11,True,1,True,6.0
Research,High,Junior,Java,Critical,8,6,5,27,8,13,True,0,True,6.3
Feature Dev,Low,Junior,Python,Medium,9,2,3,10,4,10,False,3,True,9.5
Bugfix,High,Junior,JavaScript,Critical,3,10,0,16,5,12,False,1,True,9.0
Bugfix,Low,Junior,JavaScript,Medium,10,1,0,23,13,8,True,0,True,14.0
Research,Low,Senior,JavaScript,Low,1,9,4,15,10,17,True,0,False,4.0
Research,High,Junior,Java,Critical,5,8,2,34,6,8,True,1,True,7.5
Research,Medium,Junior,Python,Critical,4,4,2,39,2,10,False,2,True,6.2
Bugfix,High,Junior,Python,Critical,12,3,5,6,5,11,False,3,False,7.0
Feature Dev,High,Senior,Java,Medium,7,5,1,16,10,12,True,1,False,2.9
Research,High,Junior,Java,Low,7,9,2,31,8,16,False,0,True,8.2
Bugfix,High,Mid,Python,Low,7,6,1,25,7,8,True,3,True,4.65
Feature Dev,High,Mid,Python,Medium,4,4,0,38,10,9,False,3,False,4.65
Feature Dev,Medium,Senior,Python,Low,5,7,5,15,10,8,False,0,False,3.3
Feature Dev,Medium,Junior,JavaScript,Low,8,10,3,18,2,15,False,3,False,9.0
Feature Dev,Medium,Senior,Java,Medium,11,3,0,13,12,8,False,0,True,3.8
Bugfix,Low,Senior,Python,Low,10,6,0,24,8,17,True,3,True,3.0
Bugfix,Low,Mid,JavaScript,Critical,9,6,1,19,5,16,True,2,True,4.65
Feature Dev,Low,Senior,JavaScript,Low,9,5,5,22,12,15,True,2,True,2.9
Bugfix,Medium,Mid,JavaScript,Medium,4,8,2,15,14,17,True,3,True,5.55
Feature Dev,High,Junior,Java,Critical,1,6,0,28,11,16,True,3,False,6.3
Feature Dev,Medium,Junior,Java,Low,13,10,0,16,3,13,True,1,False,9.0
Research,Low,Mid,Java,Low,5,3,4,21,12,10,False,1,False,5.4
Feature Dev,Low,Junior,Python,Medium,7,8,5,8,13,11,True,3,True,7.5
Bugfix,Low,Junior,Python,Critical,5,10,2,12,1,10,True,0,True,9.0
Research,High,Mid,JavaScript,Medium,11,3,5,19,10,11,True,3,True,5.4
Research,Medium,Mid,JavaScript,Critical,1,4,0,10,12,15,True,0,False,4.65
Bugfix,Medium,Senior,JavaScript,Medium,2,3,5,35,11,14,True,2,True,3.8
Feature Dev,Low,Mid,JavaScript,Low,6,10,0,32,1,15,False,0,True,6.75
Feature Dev,Medium,Junior,JavaScript,Medium,2,4,3,19,1,12,False,0,False,6.2
Feature Dev,Medium,Junior,JavaScript,Critical,4,6,1,14,13,14,True,2,True,6.3
Bugfix,Medium,Junior,Java,Low,2,6,2,7,6,16,False,0,True,6.3
Bugfix,Medium,Mid,Python,Medium,5,10,5,4,10,17,True,2,True,6.75
Bugfix,Low,Junior,Java,Medium,1,10,2,20,8,17,True,2,True,9.0
Research,Medium,Senior,Python,Low,11,5,0,38,12,12,True,0,True,2.9
Bugfix,Medium,Junior,Java,Medium,4,7,5,40,6,15,False,1,True,6.8
Feature Dev,Medium,Senior,Python,Medium,8,2,4,21,13,10,False,2,False,5.2
Bugfix,High,Senior,Python,Medium,4,3,1,26,2,11,False,1,True,3.8
Research,Medium,Mid,Java,Medium,2,7,5,20,6,8,True,2,True,5.05
Bugfix,Low,Senior,Java,Critical,12,9,3,37,6,8,True,0,True,4.0
Research,Low,Mid,JavaScript,Medium,1,8,2,36,3,13,False,3,True,5.55
Feature Dev,High,Mid,Java,Medium,3,4,4,6,6,17,False,1,True,4.65
Research,High,Senior,Java,Low,5,6,5,18,3,11,False,2,True,3.0
Feature Dev,Low,Senior,Python,Low,13,7,0,8,4,16,False,1,True,3.3
Research,Medium,Mid,JavaScript,Medium,12,6,1,11,6,11,False,2,False,4.65
Research,Low,Mid,Java,Medium,6,1,0,10,10,16,False,2,True,11.25
Feature Dev,Low,Junior,Python,Critical,1,10,5,33,1,18,False,2,False,9.0
Research,Medium,Junior,JavaScript,Low,3,4,0,39,2,8,False,0,False,6.2
Bugfix,Medium,Mid,JavaScript,Low,6,3,1,7,3,10,False,3,False,5.4
Feature Dev,Medium,Senior,Python,Low,8,7,3,16,6,11,True,0,True,3.3
Research,Medium,Mid,JavaScript,Medium,11,5,5,6,12,18,False,1,False,4.45
Research,High,Mid,Python,Low,5,4,1,30,6,10,False,1,True,4.65
Research,Medium,Mid,Python,Low,5,4,5,23,13,9,True,0,False,4.65
Feature Dev,Medium,Mid,Python,Medium,9,7,2,24,13,14,True,0,True,5.05
Bugfix,Medium,Mid,JavaScript,Critical,12,9,1,11,7,10,True,3,False,6.1
Feature Dev,Low,Mid,Java,Critical,3,1,5,35,4,15,False,2,True,11.25
Bugfix,Low,Junior,Java,Critical,13,7,1,13,12,12,True,2,True,6.8
Bugfix,Medium,Senior,Python,Critical,11,5,0,27,2,12,False,0,False,2.9
Feature Dev,Low,Mid,Java,Critical,8,7,4,18,3,18,False,1,False,5.05
Feature Dev,High,Mid,JavaScript,Low,8,7,0,39,12,11,False,1,True,5.05
Research,High,Junior,Java,Low,8,8,1,33,1,12,True,1,False,7.5
Research,Low,Junior,Python,Low,2,5,4,10,14,8,True,1,True,6.0
Bugfix,Medium,Mid,Java,Low,13,1,1,9,2,16,True,0,False,11.25
Feature Dev,Medium,Mid,JavaScript,Medium,2,7,3,16,1,15,True,0,False,5.05
Research,Low,Mid,Python,Critical,1,9,5,5,7,15,False,1,True,6.1
Feature Dev,High,Senior,Java,Medium,8,3,3,19,10,10,True,2,False,3.8
Research,Low,Junior,JavaScript,Medium,3,2,1,21,11,8,True,0,False,9.5
Research,Medium,Senior,Python,Medium,6,8,0,33,2,13,True,3,False,3.6
Research,Medium,Junior,Java,Low,7,1,5,27,11,18,False,2,True,14.0
Feature Dev,High,Mid,Java,Critical,6,8,3,37,10,14,True,3,True,5.55
Feature Dev,High,Junior,Python,Medium,8,2,3,35,12,15,True,0,True,9.5
Research,Low,Senior,Python,Critical,6,4,3,20,3,14,True,3,True,3.1
Feature Dev,High,Junior,JavaScript,Medium,12,3,0,18,2,13,False,0,False,7.0
Research,High,Mid,Java,Critical,13,7,5,6,7,17,False,2,True,5.05
Research,Medium,Junior,Java,Low,13,10,5,9,8,12,False,3,True,9.0
Research,Low,Mid,JavaScript,Medium,1,3,3,13,2,8,True,2,False,5.4
Research,High,Mid,Java,Medium,8,7,0,34,7,15,False,1,False,5.05
Feature Dev,Low,Junior,JavaScript,Medium,9,5,2,5,10,9,True,3,True,6.0
Research,Low,Junior,Java,Medium,11,10,2,34,5,16,False,3,True,9.0
Feature Dev,High,Senior,Python,Medium,9,7,0,29,5,13,False,2,True,3.3
Research,High,Mid,Python,Medium,6,8,0,18,10,12,True,3,True,5.55
Feature Dev,Low,Mid,Java,Low,1,4,4,38,7,18,True,1,False,4.65
Research,High,Mid,Java,Medium,3,5,4,37,14,10,True,3,True,4.45
Feature Dev,Low,Junior,JavaScript,Low,10,2,5,25,3,11,True,2,False,9.5
Feature Dev,High,Senior,Python,Low,11,8,5,18,4,8,True,2,False,3.6
Feature Dev,Medium,Senior,Python,Critical,9,3,5,30,10,16,True,0,False,3.8
Feature Dev,High,Senior,Java,Critical,6,7,1,5,10,13,False,3,True,3.3
Feature Dev,Medium,Junior,Java,Critical,9,3,0,25,4,18,False,0,False,7.0
Feature Dev,High,Senior,Java,Critical,13,4,4,14,1,13,True,2,False,3.1
Research,High,Senior,JavaScript,Medium,10,4,3,11,10,8,False,0,False,3.1
Feature Dev,Low,Senior,Java,Critical,2,9,1,34,9,10,False,0,True,4.0
Bugfix,High,Junior,JavaScript,Medium,13,5,3,5,8,16,False,3,True,6.0
Bugfix,High,Senior,Python,Critical,12,8,2,32,13,12,False,2,False,3.6
Feature Dev,High,Senior,Java,Critical,4,8,0,36,10,9,False,3,True,3.6
Feature Dev,Medium,Senior,Java,Medium,1,10,3,24,4,10,False,1,True,4.5
Research,Medium,Mid,Java,Medium,1,2,3,36,2,13,True,1,True,7.35
Bugfix,Medium,Mid,Java,Medium,11,4,0,35,10,12,True,0,False,4.65
Feature Dev,High,Junior,JavaScript,Medium,2,9,5,4,8,18,True,3,False,8.2
Feature Dev,High,Mid,Python,Critical,5,8,0,22,13,12,True,3,False,5.55
Bugfix,High,Junior,JavaScript,Medium,1,10,3,24,1,12,True,3,True,9.0
Bugfix,Medium,Mid,Python,Critical,9,10,5,22,1,12,False,0,True,6.75
Feature Dev,Medium,Mid,Python,Medium,2,3,4,30,4,17,True,1,True,5.4
Research,High,Mid,Java,Medium,8,4,0,37,3,11,True,0,False,4.65
Feature Dev,Medium,Senior,Python,Low,1,2,0,34,9,8,False,1,False,5.2
Bugfix,High,Senior,Python,Low,1,8,5,27,8,11,False,3,True,3.6
Bugfix,Medium,Senior,Python,Medium,2,6,3,22,12,18,False,2,True,3.0
Feature Dev,High,Junior,Java,Medium,2,8,2,26,11,15,True,3,True,7.5
Bugfix,Medium,Senior,Java,Critical,13,6,0,30,10,14,False,3,True,3.0
Feature Dev,Low,Junior,Java,Critical,11,4,0,5,5,14,True,3,False,6.2
Feature Dev,Low,Mid,Java,Medium,5,7,0,11,3,18,True,3,False,5.05
Feature Dev,Low,Junior,Java,Medium,13,5,5,18,5,8,True,2,True,6.0
Bugfix,High,Senior,Python,Critical,2,3,5,10,11,17,False,3,False,3.8
Feature Dev,Low,Junior,Python,Low,5,7,2,20,10,10,False,1,True,6.8
Bugfix,Low,Senior,Python,Critical,7,6,2,23,1,16,True,1,True,3.0
Bugfix,High,Mid,JavaScript,Low,2,5,5,31,11,15,True,0,False,4.45
Feature Dev,High,Junior,JavaScript,Critical,7,9,1,13,9,9,False,1,False,8.2
Bugfix,Medium,Junior,Python,Low,6,7,1,18,3,9,True,1,False,6.8
Feature Dev,Low,Mid,JavaScript,Medium,2,5,0,8,2,12,False,3,True,4.45
Research,Medium,Junior,Python,Medium,1,8,0,30,5,8,True,3,True,7.5
Bugfix,High,Senior,Java,Low,8,3,3,4,7,15,True,0,True,3.8
Research,Low,Senior,Python,Critical,1,7,2,5,10,10,False,1,True,3.3
Bugfix,High,Junior,Python,Critical,10,4,4,17,7,16,False,0,False,6.2
Research,High,Mid,JavaScript,Low,2,5,1,21,13,15,False,3,True,4.45
Bugfix,Medium,Mid,Java,Critical,9,8,3,26,7,16,False,2,False,5.55
Feature Dev,Medium,Junior,Java,Critical,6,3,2,26,12,14,False,0,False,7.0
Bugfix,Low,Junior,JavaScript,Low,6,4,4,31,11,12,False,2,True,6.2
Research,Medium,Mid,Java,Medium,13,4,2,30,13,16,True,0,False,4.65
Bugfix,Low,Senior,Python,Medium,3,6,0,32,3,16,False,3,False,3.0
Bugfix,Low,Senior,Python,Critical,3,7,4,6,13,16,True,0,True,3.3
Feature Dev,Low,Senior,Java,Low,4,5,2,11,1,16,False,3,False,2.9
Bugfix,Low,Senior,Python,Medium,4,2,1,5,7,10,False,0,False,5.2
Bugfix,Medium,Senior,Java,Low,11,3,2,39,9,11,True,1,False,3.8
Feature Dev,Low,Junior,Python,Low,10,7,0,25,3,9,True,1,False,6.8
Research,Low,Junior,Java,Medium,10,2,0,7,9,13,True,3,False,9.5
Bugfix,High,Senior,JavaScript,Medium,7,5,1,13,13,10,True,2,False,2.9
Bugfix,Low,Mid,Java,Critical,12,2,4,7,9,17,True,0,False,7.35
Bugfix,Low,Junior,JavaScript,Critical,8,9,5,6,4,16,True,1,True,8.2
Research,Medium,Junior,Java,Critical,9,3,3,27,4,15,True,0,False,7.0
Feature Dev,Low,Senior,JavaScript,Low,8,5,3,38,2,13,True,1,True,2.9
Feature Dev,High,Mid,Java,Critical,9,2,3,14,4,8,False,1,True,7.35
Feature Dev,Medium,Junior,Java,Low,12,3,1,8,3,11,False,3,False,7.0
Research,Low,Junior,Java,Critical,10,10,4,22,13,11,False,2,False,9.0
Research,Low,Mid,JavaScript,Critical,9,5,5,33,8,11,True,0,False,4.45
Research,Medium,Senior,JavaScript,Medium,8,9,0,5,8,11,False,1,True,4.0
Research,Medium,Senior,Java,Low,10,4,1,30,14,13,True,1,False,3.1
Feature Dev,Low,Junior,Java,Low,12,6,2,38,5,16,True,2,False,6.3
Bugfix,Low,Junior,Python,Low,12,5,0,27,14,11,False,0,True,6.0
Feature Dev,High,Mid,Python,Low,6,2,3,15,6,18,True,1,False,7.35
Bugfix,High,Junior,JavaScript,Critical,1,9,2,16,14,13,False,0,True,8.2
Bugfix,Medium,Junior,Python,Medium,10,5,0,27,12,12,False,3,False,6.0
Research,Low,Senior,JavaScript,Critical,12,4,4,32,9,18,True,3,False,3.1
Research,High,Mid,JavaScript,Medium,11,10,0,13,11,12,False,0,False,6.75
Feature Dev,Low,Mid,Java,Low,4,8,1,39,7,13,True,2,True,5.55
Bugfix,Medium,Mid,JavaScript,Medium,2,7,4,29,5,14,True,1,False,5.05
Bugfix,High,Mid,Python,Critical,7,1,0,7,4,14,True,3,False,11.25
Research,Medium,Junior,Python,Critical,5,7,5,36,7,17,True,2,False,6.8
Research,High,Mid,Python,Critical,4,4,2,4,3,16,False,0,False,4.65
Feature Dev,High,Junior,Python,Low,10,2,1,39,7,17,False,3,False,9.5
Feature Dev,Low,Mid,JavaScript,Critical,3,8,5,14,13,10,False,3,False,5.55
Research,Medium,Mid,Python,Low,13,1,0,38,12,17,False,2,False,11.25
Research,Medium,Junior,Python,Critical,11,9,1,21,10,8,False,2,True,8.2
Bugfix,High,Junior,Python,Critical,9,10,5,7,8,12,True,3,False,9.0
Research,Low,Mid,Python,Medium,5,4,5,19,1,10,False,3,False,4.65
Feature Dev,High,Junior,Java,Low,11,2,2,11,4,9,False,3,False,9.5
Bugfix,High,Senior,Java,Critical,11,9,4,7,2,9,True,2,True,4.0
Feature Dev,High,Senior,Python,Critical,13,4,2,24,4,10,True,0,True,3.1
Research,Medium,Senior,Java,Medium,1,6,3,6,5,14,False,3,False,3.0
Research,Medium,Junior,Python,Medium,13,3,4,24,5,12,True,2,False,7.0
Research,High,Mid,Java,Low,3,7,5,25,7,10,True,1,False,5.05
Research,High,Senior,Java,Low,2,3,1,5,11,10,False,3,False,3.8
Bugfix,High,Senior,Java,Medium,9,9,1,31,4,8,False,0,False,4.0
Research,High,Junior,Python,Critical,4,3,3,22,9,11,False,1,False,7.0
Feature Dev,High,Junior,JavaScript,Low,13,3,5,22,14,8,True,3,False,7.0
Research,Medium,Mid,Python,Critical,4,9,1,39,6,18,False,2,False,6.1
Research,Low,Senior,JavaScript,Critical,8,6,5,38,5,8,False,3,True,3.0
Feature Dev,Medium,Mid,JavaScript,Medium,5,3,5,34,11,11,True,1,False,5.4
Research,Low,Mid,Java,Low,11,3,5,19,1,15,False,2,False,5.4
Feature Dev,Medium,Senior,JavaScript,Critical,11,7,1,25,10,15,True,3,True,3.3
Bugfix,High,Senior,Java,Low,1,9,0,9,14,13,True,3,False,4.0
Bugfix,High,Senior,Python,Medium,5,9,3,20,9,12,True,0,False,4.0
Feature Dev,Medium,Senior,Java,Critical,8,7,0,5,3,13,False,1,False,3.3
Research,Low,Junior,JavaScript,Critical,12,7,4,34,2,15,False,1,True,6.8
Research,High,Senior,Java,Critical,2,4,2,30,6,8,False,3,True,3.1
Bugfix,Medium,Junior,Java,Low,6,8,3,28,9,12,True,1,False,7.5
Bugfix,High,Mid,Python,Medium,7,4,2,22,14,13,False,1,True,4.65
Feature Dev,High,Junior,JavaScript,Low,4,7,0,26,1,17,True,3,False,6.8
Feature Dev,High,Senior,Python,Low,6,9,0,21,14,16,False,2,True,4.0
Research,Medium,Senior,Java,Medium,8,5,4,31,4,18,False,0,False,2.9
Research,High,Mid,Python,Medium,2,10,3,24,7,15,False,0,False,6.75
Bugfix,Medium,Mid,Python,Low,9,4,5,6,7,14,True,3,True,4.65
Bugfix,Medium,Junior,JavaScript,Low,10,10,0,14,2,17,True,1,True,9.0
Bugfix,High,Mid,Java,Low,1,8,3,40,11,9,False,0,False,5.55
Feature Dev,Medium,Junior,JavaScript,Low,4,6,1,39,5,13,True,1,False,6.3
Bugfix,Medium,Mid,Python,Low,10,8,3,7,12,18,True,0,False,5.55
Research,High,Senior,Python,Medium,3,7,3,21,3,14,False,0,True,3.3
Bugfix,High,Mid,Java,Critical,5,4,5,36,4,8,False,1,False,4.65
Feature Dev,Low,Senior,Python,Critical,12,9,3,13,6,15,False,1,True,4.0
Research,High,Senior,Python,Low,11,7,1,31,1,14,True,2,False,3.3
Feature Dev,Low,Senior,Python,Critical,10,10,1,18,11,11,False,1,False,4.5
Research,Medium,Mid,Java,Critical,12,2,4,7,9,14,False,3,False,7.35
Feature Dev,Medium,Junior,JavaScript,Critical,9,6,5,31,8,11,True,1,False,6.3
Bugfix,Low,Junior,Java,Low,6,8,5,24,8,11,True,3,True,7.5
Feature Dev,Medium,Mid,Java,Medium,10,5,0,23,8,16,True,1,True,4.45
Feature Dev,Medium,Junior,Java,Low,1,1,0,10,12,10,True,1,False,14.0
Research,Low,Mid,Java,Critical,9,8,0,19,6,15,False,2,True,5.55
Research,High,Senior,Python,Critical,7,8,2,16,10,9,False,1,True,3.6
Feature Dev,Medium,Mid,Python,Low,13,10,4,12,12,17,False,3,False,6.75
Research,Medium,Mid,Java,Critical,2,2,3,34,4,15,False,2,False,7.35
Bugfix,High,Senior,JavaScript,Critical,6,10,0,40,3,9,True,3,False,4.5
Feature Dev,Medium,Mid,Python,Medium,9,5,5,9,14,14,False,1,True,4.45
Research,High,Senior,Java,Critical,5,4,3,37,12,9,True,1,False,3.1
Feature Dev,Medium,Senior,JavaScript,Medium,8,4,3,16,12,13,True,2,True,3.1
Bugfix,High,Mid,JavaScript,Medium,4,5,4,16,13,12,True,1,False,4.45
Bugfix,Low,Junior,Python,Medium,4,4,3,39,9,13,True,2,False,6.2
Research,Low,Junior,Python,Medium,13,1,1,6,13,15,True,0,False,14.0
Feature Dev,Low,Junior,Python,Medium,8,3,3,4,6,14,False,3,True,7.0
Research,Low,Senior,JavaScript,Medium,8,2,0,39,14,18,False,0,False,5.2
Research,High,Senior,Python,Low,5,9,4,17,11,9,False,0,False,4.0
Bugfix,Medium,Mid,Python,Critical,9,6,2,31,13,16,True,3,True,4.65
Research,Medium,Mid,JavaScript,Critical,12,5,0,5,2,16,True,1,True,4.45
Research,Medium,Junior,Python,Low,4,10,3,16,6,13,True,2,False,9.0
Research,High,Senior,Java,Medium,5,2,1,8,11,8,True,0,True,5.2
Feature Dev,Medium,Senior,Python,Medium,9,10,3,26,12,18,False,1,False,4.5
Feature Dev,High,Junior,Python,Medium,4,3,1,18,3,17,True,2,False,7.0
Bugfix,Medium,Senior,Java,Low,3,8,3,13,13,16,False,3,True,3.6
Feature Dev,Low,Mid,Python,Medium,8,6,2,31,12,8,False,1,True,4.65
Research,High,Mid,JavaScript,Critical,5,6,2,34,4,12,False,0,True,4.65
Bugfix,Low,Junior,Python,Critical,4,10,1,16,10,10,False,2,True,9.0
Bugfix,Low,Junior,JavaScript,Medium,12,7,1,16,7,9,False,3,True,6.8
Research,High,Mid,JavaScript,Low,1,2,0,5,2,14,False,1,False,7.35
Bugfix,High,Junior,Java,Low,8,7,1,12,9,16,True,2,True,6.8
Research,Medium,Senior,Java,Low,7,1,5,10,2,10,False,0,False,8.5
Research,Medium,Mid,Python,Medium,7,5,3,10,13,17,True,2,False,4.45
Research,Low,Senior,Python,Low,7,10,5,23,11,15,False,0,False,4.5
Feature Dev,Medium,Junior,JavaScript,Critical,3,2,1,36,8,11,False,0,True,9.5
Feature Dev,High,Junior,JavaScript,Medium,4,2,0,33,13,12,True,1,False,9.5
Feature Dev,Low,Mid,Python,Low,5,10,3,13,10,12,True,2,False,6.75
Bugfix,Low,Senior,Python,Critical,13,6,3,33,10,8,True,3,True,3.0
Research,Low,Mid,Java,Medium,13,5,0,13,1,18,False,3,False,4.45
Bugfix,High,Junior,Python,Critical,13,9,5,40,12,10,False,3,False,8.2
Feature Dev,Medium,Junior,Python,Medium,5,9,0,36,7,18,True,2,False,8.2
Research,Low,Senior,Java,Medium,7,3,2,8,4,16,True,0,True,3.8
Feature Dev,Low,Junior,Python,Low,4,4,2,17,2,15,True,0,False,6.2
Bugfix,Medium,Junior,Java,Critical,10,10,0,22,7,9,False,0,False,9.0
Feature Dev,Low,Mid,Java,Critical,8,10,5,23,9,10,True,1,False,6.75
Feature Dev,Medium,Mid,Python,Medium,12,6,4,13,7,17,True,3,True,4.65
Bugfix,Low,Junior,Python,Low,7,2,1,19,12,16,True,0,True,9.5
Feature Dev,High,Mid,Python,Critical,6,8,4,29,8,10,False,1,False,5.55
Feature Dev,Medium,Mid,Python,Medium,5,6,4,20,7,8,True,3,False,4.65
Feature Dev,Low,Senior,Python,Critical,5,9,0,24,5,17,True,3,False,4.0
Research,Low,Junior,JavaScript,Medium,12,2,5,25,4,10,False,2,False,9.5
Feature Dev,Low,Senior,JavaScript,Low,13,1,4,9,14,15,True,1,True,8.5
Bugfix,High,Mid,JavaScript,Medium,10,3,0,31,9,13,False,0,False,5.4
Bugfix,High,Mid,Python,Low,7,9,0,12,2,12,True,2,True,6.1
Feature Dev,Medium,Senior,JavaScript,Medium,5,2,0,37,6,11,True,3,True,5.2
Bugfix,Medium,Mid,JavaScript,Critical,12,1,0,4,7,18,False,3,False,11.25
Research,Medium,Senior,Java,Critical,8,3,1,27,6,13,True,0,False,3.8
Feature Dev,Low,Senior,Python,Low,4,10,5,24,11,13,False,0,False,4.5
Feature Dev,Low,Junior,Python,Medium,5,9,2,22,8,8,False,1,True,8.2
Research,High,Senior,Python,Critical,4,1,2,33,11,16,False,2,True,8.5
Feature Dev,Low,Junior,JavaScript,Critical,1,6,1,15,10,8,True,2,False,6.3
Feature Dev,Low,Mid,JavaScript,Critical,8,7,2,35,6,12,False,2,False,5.05
Feature Dev,High,Mid,Java,Medium,13,2,5,40,13,15,True,0,True,7.35
Bugfix,High,Senior,Java,Low,4,2,2,4,9,17,True,2,False,5.2
Research,Medium,Junior,Python,Critical,4,4,4,39,8,10,False,1,False,6.2
Feature Dev,Low,Senior,JavaScript,Low,11,9,3,18,12,14,True,1,True,4.0
Research,High,Mid,JavaScript,Medium,6,2,5,34,10,12,False,3,True,7.35
Research,High,Junior,JavaScript,Critical,13,4,4,28,14,11,False,1,False,6.2
Bugfix,Low,Mid,JavaScript,Medium,12,7,3,31,8,17,True,0,True,5.05
Bugfix,High,Senior,Python,Low,9,4,0,24,1,11,True,0,False,3.1
Feature Dev,Low,Senior,Java,Low,12,2,4,38,8,13,False,1,True,5.2
Feature Dev,Medium,Senior,Python,Low,4,3,2,8,12,12,True,0,False,3.8
Research,Low,Junior,Python,Medium,4,7,0,11,10,13,False,2,False,6.8
Feature Dev,Low,Junior,Python,Medium,11,9,2,25,4,12,True,2,True,8.2
